Name,P/E,DIV-YLD,CMP/BV,ROA,CURRENTRATIO,PROFITGROWTH,DEBT-EQ,ROE,QUICKRATIO,ASSET-TO,INVEN-TO,PAT,LEVERAGE,EARNINGSYEILDS,ROCE,INT-COVERAGE,EV,EBITDA,CMP-FCF,CMP-SALES,PEG,SALESGROWTH,PLEDGED,SALES,OPM,MAR-CAP,EPS,DEBT,PROM-HOLD,RETURN
Deccan Transcon,12.06,0,,18.02,1.86,38.04,0.72,45.08,1.86,2.32,,11.83,2.04,11.42,36.65,5.86,163.65,8.01,-128.09,0.94,,-15.06,0,152.56,11.88,143.61,6.87,23.1,64.13,
Mahanagar Gas,12.56,1.96,2.94,19.45,0.5,23.83,0.03,27.79,0.48,0.94,102.77,1205.2,1.29,10.98,36.6,134.73,15335.09,8,35.84,2.48,0.69,-1.35,0,6296.37,27.63,15594.3,122.01,139.26,32.5,50.37
Vraj Iron,12.94,0,,24.19,4.59,5.72,0.32,33.46,2.84,1.78,8.39,57.09,1.18,10.29,36.54,27.03,767.69,9.12,93.74,1.77,,-18.58,0,419.86,18.33,744.57,23.22,63.27,74.95,
Aeron Composites,20.27,0,,11.87,1.32,53.18,0.33,33.21,0.89,2.34,5.56,10.11,2.4,7.47,36.46,12.16,215.23,11.94,161.02,1.04,,11.34,0,199.73,8.05,208.49,64.54,11.83,73.63,
Amic Forging,104.53,0,19.77,15.82,1.97,25.85,0.06,28.92,1.96,1.63,28.59,12.22,1.2,1.34,36.37,32.71,1323.07,74.67,667.49,10.58,,8.77,0,125.82,13.1,1331.29,13.19,3.86,57.82,
Aspire & Innovat,11.57,0,,10.31,1.47,75.86,0.35,35.32,1.1,4.28,8.38,9.25,2.43,12.59,36.37,15,110.3,7.98,-22.31,0.29,,11.07,0,383.99,3.34,110.04,8.38,13.05,72.35,
Evans Electric,19.35,0.88,4.79,23.23,2.15,50,0.02,28.02,2.03,0.99,4.65,4.83,1.07,6.94,36.35,25.36,84.75,12.88,24.59,4.2,0.56,8.05,0,20.67,31.01,86.81,18.48,0.4,59.44,117.64
Cello World,55.75,0.18,15.66,20.1,2.18,23.46,0.32,44.21,1.35,1.14,2,336.22,1.53,2.54,36.28,190.12,18896.2,34.87,233.84,9.16,,11.33,0,2029.15,25.34,18590.55,16.18,370.71,75,
Aluwind,19.63,0,,14.83,1.47,174.82,0.51,36.21,1.14,1.64,4.79,7.53,2.07,6.97,36.07,13.62,165.55,13.83,-51.45,1.86,,70.2,0,83.43,14.16,155.17,4.13,12.49,72.13,
HBL Power System,48.19,0.09,12.93,20.43,2.77,153.7,0.06,27.73,1.68,1.52,3.15,327.64,1.21,2.78,35.94,34.07,15307.11,32.11,137.9,6.77,0.71,50.75,0,2286.04,19.95,15474.6,11.16,67.46,59.11,114.3
K2 Infragen,22.92,0,,15.75,1.67,9.79,0.56,42.3,1.67,1.38,,12.45,1.76,6.72,35.82,7.19,303.1,14.18,-773.6,2.76,,45.37,0,108.72,19.17,299.56,13.52,25.29,40.36,
Thomas Scott,26.97,0,5.68,14.63,3.58,209.34,0.14,36.13,1.83,1.32,2.31,10.27,1.62,4.43,35.78,8.23,268.61,19.23,-24.09,2.72,0.43,41.62,0,96.7,11.49,263.12,11.37,5.9,57.86,88.63
MPS,31.12,3.61,7.73,18.13,1.46,-3.78,0.01,26.47,1.46,0.84,,114.36,1.41,4.57,35.65,181.21,3519.02,19.56,32.89,6.12,2.51,14.42,0,593.52,28.48,3629.85,66.85,4.54,68.34,31.31
Bondada Engineer,127.06,0.01,35.02,12.25,1.42,169.15,0.39,37.17,0.99,2.12,5.3,44.74,2.33,1.24,35.53,7.96,5618.42,78.59,-14751.95,7,3.96,116.07,0,800.72,8.55,5606.27,4.14,62.5,63.33,976.72
Sayaji Hot. Pune,13.91,0,3.51,23.91,1.11,19.91,0.03,29.22,0.93,1.02,5.33,16.4,1.07,9.7,35.53,122.83,225.15,9.06,,3.17,,7.29,2.28,71.1,33.59,225.43,53.83,1.97,74.95,
Sona Machinery,21.24,0,3.4,18.31,3.88,35.49,0.01,27.26,3.25,1.67,6.25,10.46,0.87,8.04,35.52,75,172.09,11.14,160.05,2.28,,17.78,0,95.21,15.93,216.97,7.63,0.97,73.59,
Sonata Software,39.63,1.35,11.66,8.72,0.92,-10.97,0.54,30.34,0.89,1.83,91.85,413.35,3.35,4.35,35.51,8.4,16918.23,20.1,53.81,1.86,3.68,18.73,0,9124.96,7.95,17017.74,10.48,765.46,28.17,8.49
Exhicon Events,23.38,0.42,3.67,21.64,5.3,43.42,0.01,25.82,5.3,1.35,,13.08,0.79,6.49,35.5,229.88,279.87,13.91,-24.76,3.42,,50.34,0,88.46,22,302.35,10.09,0.74,57.03,-14.42
C P C L,19.11,6.25,1.75,15.93,0.91,-76.25,0.82,36.46,0.17,3.88,8.66,685.48,1.98,5.98,35.44,5.67,17628.67,10.11,4.53,0.18,0.24,-1.65,0,64277.6,2.66,11708.51,46.03,6113.7,67.29,69
SKM Egg Prod.,10.23,1.04,2.29,20.96,2.4,-40.34,0.49,35.91,1.52,1.74,3.75,62.17,1.46,14.54,35.44,8.55,640.21,6.17,26.57,1.06,0.13,-17.64,0,608.73,14.6,645.1,23.65,136.2,55.11,-39.57
Arrow Greentech,28.75,0.26,9.07,21.99,5.97,53.83,0.01,26.07,4.38,1.11,3.45,40.12,1.05,4.84,35.32,144.21,1177.07,18.78,5555.17,7.01,0.99,21.43,0,170.76,35.13,1197.72,26.7,1.24,66.75,94.12
Cummins India,55.54,1.07,15.93,20.25,2.32,41.66,0.02,28.11,1.86,1.12,6.36,1766.01,1.3,2.38,35.23,96.6,93415.47,37.81,116.86,10.47,2.97,9.53,0,9054.08,20.85,94799.63,63.66,120.5,51,108.45
Nitta Gelatin,9.49,0.77,2.05,21.3,4.27,-10.97,0.04,27.05,2.75,1.35,3,74.23,1.15,16.71,35.19,47.74,651.55,5.32,13.23,1.32,0.11,-3.61,0,539.05,20.79,713.19,82.36,14.05,74.48,-1.67
Kalyani Cast-Tec,36.72,0,6.97,21.48,2.93,18.63,0.15,29.55,1.9,2.13,6.17,9.55,0.88,3.82,35.16,63.43,332.56,23.55,-281.1,3.54,,49.33,0,94.48,14.33,334.54,13.37,7.7,69.88,
R K Swamy,27.97,0.87,4.78,11.19,2.4,27.44,0.08,27.71,2.4,0.93,,41.39,1.47,6.02,35.16,12.08,1012.02,13.35,36.39,3.42,,13.3,0,338.54,20.51,1156.99,8.55,20.47,66.05,
Shekhawati Inds,8.75,0,22.34,14.35,1.17,220.8,0.12,,1.13,1.01,25.56,18.76,10.48,11.43,35.14,470,161.21,6.42,6.21,2.34,0.33,-62.88,0,68.62,12.62,160.72,45.92,0.84,58.02,841.4
Kamdhenu,24.44,0.43,5.92,20.43,3.83,24.27,0.01,26.5,3.48,2.94,42.78,53.51,1.16,5.67,35.11,139.76,1268.15,16.61,20.45,1.88,1.41,-6.51,0,700.64,8.29,1319.4,19.72,2.7,49.83,68.07
Khemani Distrib.,10.12,0,2.57,27.02,10.6,599.65,0.05,31.5,4.92,1.29,3.95,20.22,0.94,12.14,35.06,119.71,207.1,8.2,18.48,2.12,0.16,26.05,29.85,96.62,25.67,204.65,13.55,4.35,75.84,47.36
Magson Retail,25.44,0.44,2.94,14.1,4.06,11.9,0.03,30.42,2.75,3.38,5.02,2.82,2.16,6.88,34.99,8.09,63.56,12.37,232.92,1.06,,7.74,0,67.68,7.06,71.75,3.59,0.77,70.06,7.21
Aditya AMC,25.05,1.87,6.57,24.81,1.39,22.62,0.02,27.45,1.39,0.52,,831.52,0.99,5.18,34.89,172.03,21210.27,19.01,39.25,14.85,2.16,15.84,0,1428.64,56.79,21216,28.86,79.09,74.95,66.13
Moongipa Capital,7.34,0,2.01,30.59,39.24,269.49,0.02,31.65,6.29,1.62,2.97,2.18,0.89,16.57,34.88,,16.28,5.96,-11.87,1.42,0.19,151.88,0,11.41,21.03,16.16,7.14,0.18,37.38,114.08
Aztec Fluids,18.85,0.6,,16.02,1.35,92.95,0.32,32.65,1.11,1.8,14.43,6.02,1.76,7.21,34.76,14.56,122.61,13.79,64.98,1.73,,24.76,0,67.68,11.42,116.96,6.13,6.92,74,
Shree Pacetronix,20.18,0,3.35,17.55,1.72,-45.74,0.45,29.6,1.03,1.15,1.72,2.23,1.47,7.23,34.74,7.68,50.27,10.9,256.75,2.29,0.17,-16.71,14.78,19.84,22.48,45.35,6.2,6.06,24.24,-68.02
Pee Cee Cosma,18.21,0.38,5.13,21.97,2.11,137.16,0.04,29.55,0.17,2.81,6.46,11.36,1.18,7.43,34.67,81.37,209.46,12.3,99.82,1.52,0.62,6.78,0,136.76,11.59,208.22,42.93,1.52,72.57,67.46
MSTC,22.51,2.26,5.43,8.27,1.39,-9.49,0.16,24.38,1.39,0.3,10.5,215.66,2.78,8.88,34.65,684.16,3750.74,10.21,27.6,6.24,1.02,5.83,0,761.32,20.83,4754.04,30.63,145,64.75,56.35
IIFL Securities,18.65,0.8,6.44,7.75,1.29,120.54,0.65,32.32,1.29,0.34,,619.65,3.67,12.12,34.56,6.05,8269.1,6.63,-313.6,4.72,0.69,52.44,0,2530.5,45.18,11942.39,23.27,1053.06,30.88,296.82
Geekay Wires,13.05,0.6,4.32,17.06,1.4,24.6,0.77,42.11,0.97,1.82,7.59,40.22,2.06,10.14,34.51,10.37,603.82,8.84,22.52,1.25,0.19,0.34,0,410.91,8.31,512.2,7.69,93.92,59.27,35.51
Indo Tech.Trans.,49.35,0,11.15,13.6,2.05,75.76,0.02,24.15,1.28,1.46,3.64,49.23,1.59,2.69,34.49,18.35,2272.85,32.98,227.91,4.73,0.95,20.02,58.83,492.14,12.46,2325.39,46.36,5,75,360.09
Vishnusurya,25.38,0.35,5.33,19.12,2.36,59.94,0.15,29.41,2.31,1.6,2.82,27.59,1.1,5.86,34.46,12.5,729.98,14.95,-43.13,3.09,,74.16,0,230.54,20.77,713.19,11.21,19.81,62.24,139.78
